number of images:  37
1/f alpha -2.00833517987
1.42195125e-07
 
Photoreceptor Activity (proportion of diffraction)
 
index	obj_dist_mm	focus_D	off_axis_deg	wavelen_nm	pupil_mm	proportion
318	46.416	7.5	10.0	460.0	3.0	0.057
319	46.416	7.5	10.0	480.0	3.0	0.054
320	46.416	7.5	10.0	500.0	3.0	0.057
321	46.416	7.5	10.0	520.0	3.0	0.054
322	46.416	7.5	10.0	540.0	3.0	0.053
323	46.416	7.5	10.0	560.0	3.0	0.053
324	46.416	7.5	10.0	580.0	3.0	0.054
325	46.416	7.5	10.0	600.0	3.0	0.054
326	46.416	7.5	10.0	620.0	3.0	0.054
327	46.416	7.5	10.0	640.0	3.0	0.054
328	46.416	7.5	10.0	660.0	3.0	0.053
329	46.416	7.5	10.0	680.0	3.0	0.053
330	46.416	7.5	10.0	700.0	3.0	0.055
331	46.416	7.5	10.0	720.0	3.0	0.057
332	46.416	7.5	10.0	740.0	3.0	0.057
333	46.416	7.5	10.0	760.0	3.0	0.057
334	46.416	7.5	10.0	780.0	3.0	0.057
335	46.416	7.5	10.0	800.0	3.0	0.057
336	46.416	8.0	10.0	400.0	3.0	0.056
337	46.416	8.0	10.0	420.0	3.0	0.057
338	46.416	8.0	10.0	440.0	3.0	0.057
339	46.416	8.0	10.0	460.0	3.0	0.054
340	46.416	8.0	10.0	480.0	3.0	0.054
341	46.416	8.0	10.0	500.0	3.0	0.055
342	46.416	8.0	10.0	520.0	3.0	0.055
343	46.416	8.0	10.0	540.0	3.0	0.055
344	46.416	8.0	10.0	560.0	3.0	0.054
345	46.416	8.0	10.0	580.0	3.0	0.053
346	46.416	8.0	10.0	600.0	3.0	0.054
347	46.416	8.0	10.0	620.0	3.0	0.054
348	46.416	8.0	10.0	640.0	3.0	0.054
349	46.416	8.0	10.0	660.0	3.0	0.054
350	46.416	8.0	10.0	680.0	3.0	0.054
351	46.416	8.0	10.0	700.0	3.0	0.054
352	46.416	8.0	10.0	720.0	3.0	0.053
353	46.416	8.0	10.0	740.0	3.0	0.057
354	46.416	8.0	10.0	760.0	3.0	0.056
355	46.416	8.0	10.0	780.0	3.0	0.056
356	46.416	8.0	10.0	800.0	3.0	0.058
357	100.0	0.0	10.0	400.0	3.0	0.059
358	100.0	0.0	10.0	420.0	3.0	0.055
359	100.0	0.0	10.0	440.0	3.0	0.057
360	100.0	0.0	10.0	460.0	3.0	0.059
361	100.0	0.0	10.0	480.0	3.0	0.047
362	100.0	0.0	10.0	500.0	3.0	0.048
363	100.0	0.0	10.0	520.0	3.0	0.049
364	100.0	0.0	10.0	540.0	3.0	0.049
365	100.0	0.0	10.0	560.0	3.0	0.05
366	100.0	0.0	10.0	580.0	3.0	0.051
367	100.0	0.0	10.0	600.0	3.0	0.045
368	100.0	0.0	10.0	620.0	3.0	0.045
369	100.0	0.0	10.0	640.0	3.0	0.045
370	100.0	0.0	10.0	660.0	3.0	0.045
371	100.0	0.0	10.0	680.0	3.0	0.045
372	100.0	0.0	10.0	700.0	3.0	0.045
373	100.0	0.0	10.0	720.0	3.0	0.047
374	100.0	0.0	10.0	740.0	3.0	0.047
375	100.0	0.0	10.0	760.0	3.0	0.046
376	100.0	0.0	10.0	780.0	3.0	0.046
377	100.0	0.0	10.0	800.0	3.0	0.045
378	100.0	0.5	10.0	400.0	3.0	0.077
379	100.0	0.5	10.0	420.0	3.0	0.062
380	100.0	0.5	10.0	440.0	3.0	0.053
381	100.0	0.5	10.0	460.0	3.0	0.054
382	100.0	0.5	10.0	480.0	3.0	0.056
383	100.0	0.5	10.0	500.0	3.0	0.057
384	100.0	0.5	10.0	520.0	3.0	0.059
385	100.0	0.5	10.0	540.0	3.0	0.047
386	100.0	0.5	10.0	560.0	3.0	0.047
387	100.0	0.5	10.0	580.0	3.0	0.047
388	100.0	0.5	10.0	600.0	3.0	0.048
389	100.0	0.5	10.0	620.0	3.0	0.049
390	100.0	0.5	10.0	640.0	3.0	0.045
391	100.0	0.5	10.0	660.0	3.0	0.044
392	100.0	0.5	10.0	680.0	3.0	0.045
393	100.0	0.5	10.0	700.0	3.0	0.044
394	100.0	0.5	10.0	720.0	3.0	0.045
395	100.0	0.5	10.0	740.0	3.0	0.044
396	100.0	0.5	10.0	760.0	3.0	0.045
397	100.0	0.5	10.0	780.0	3.0	0.046
398	100.0	0.5	10.0	800.0	3.0	0.044
399	100.0	1.0	10.0	400.0	3.0	0.089
400	100.0	1.0	10.0	420.0	3.0	0.077
401	100.0	1.0	10.0	440.0	3.0	0.064
402	100.0	1.0	10.0	460.0	3.0	0.057
403	100.0	1.0	10.0	480.0	3.0	0.052
404	100.0	1.0	10.0	500.0	3.0	0.053
405	100.0	1.0	10.0	520.0	3.0	0.055
406	100.0	1.0	10.0	540.0	3.0	0.056
407	100.0	1.0	10.0	560.0	3.0	0.045
408	100.0	1.0	10.0	580.0	3.0	0.045
409	100.0	1.0	10.0	600.0	3.0	0.046
410	100.0	1.0	10.0	620.0	3.0	0.047
411	100.0	1.0	10.0	640.0	3.0	0.046
412	100.0	1.0	10.0	660.0	3.0	0.047
413	100.0	1.0	10.0	680.0	3.0	0.047
414	100.0	1.0	10.0	700.0	3.0	0.044
415	100.0	1.0	10.0	720.0	3.0	0.043
416	100.0	1.0	10.0	740.0	3.0	0.044
417	100.0	1.0	10.0	760.0	3.0	0.046
